Academic Year,Department Name,Main Course No,Main course Name,Detail Course No,Detail Course Name,Total Students
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,ENTW1100,Technical Writing I,2
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAFI2109,Financial Management,2
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITNT2201,Principles Of Data Telecommunications,2
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAAC3102,Banking And Insurance Accounting,2
2017/2018-Semester 1,Business Studies,BAAC3203,Government Accounting,ITSE1203,Introduction To Web Technology,2
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,ENGL3100,Public Speaking,2
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,ITSE1203,Introduction To Web Technology,2
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,BAFI2109,Financial Management,2
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAEC2204,Principles Of Macroeconomics,2
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BAAC3102,Banking And Insurance Accounting,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EETE3211,Telecommunications I I,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,CECE1100,Engineering Graphics,2
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,FDL4,English For Level 4,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EEPW2241,Electrical Skills,2
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,ITSE1203,Introduction To Web Technology,2
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,ENGL3100,Public Speaking,2
2017/2018-Semester 1,Business Studies,BADB2301,Database For Small Business,ENGL2100,Technical Communication,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,ITSE3204,Course Project,2
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,ITAD1100,Advanced IT Skills,2
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAEC2204,Principles Of Macroeconomics,2
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,FDL4,English For Level 4,2
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITSE3102,Introduction To Artificial Intelligence,2
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,ENGL3100,Public Speaking,2
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,ITSE1101,Introduction To Programming,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAHR2203,Recruitment And Selection,3
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,ITSE1203,Introduction To Web Technology,3
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAEC1203,Principles Of Microeconomics,3
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAFI3301,Project Appraisal,3
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAHR2101,Human Resources Management,3
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAHR2102,Psychology At Work,3
2017/2018-Semester 1,Business Studies,BAHR2102,Psychology At Work,BAMA3113,Research Methodology,3
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,ITSE3203,Advanced Operating System,3
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,PHIL4101,Oman Civilization,3
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAPR3311,Senior Project,3
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,EETE2210,Telecommunications I,3
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAAC2100,Principles Of Accounting -2,3
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,MATH2200,Discrete Structure,3
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAPR4211,Senior Project,3
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,BAHR2101,Human Resources Management,3
2017/2018-Semester 1,Business Studies,BAHR2204,Compensation And Benefits,BAMG2111,Entrepreneurship,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,MATH3103,Math I I,3
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ITSE101,Programming I,3
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ITIS103,Web Technologies,3
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAST1206,Managerial Statistics,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITSE1203,Introduction To Web Technology,3
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,ITSE1203,Introduction To Web Technology,3
2017/2018-Semester 1,Business Studies,BAAC4211,Graduation Project,BAAC4204,Accounting Theory,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAMK1205,Principles Of Marketing,3
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAEC1203,Principles Of Microeconomics,3
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,ENTW1200,Technical Writing I I,3
2017/2018-Semester 1,Business Studies,BAMK1205,Principles Of Marketing,BAAC2101,Cost Accounting -1,3
2017/2018-Semester 1,Business Studies,BAEB4200,Management Information System,EETE4130,Microwave Engineering,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,CECE1100,Engineering Graphics,3
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,BAHR2102,Psychology At Work,3
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAMA3113,Research Methodology,3
2017/2018-Semester 1,Business Studies,BAAC3100,Intermediate Accounting - 2,BAFI3301,Project Appraisal,3
2017/2018-Semester 1,Business Studies,BAOM4109,Employees Relation,PHIL3201,Formal Arabic Communication,3
2017/2018-Semester 1,Business Studies,BAAC3206,Contemporary Issues In Accounting,BAMG4201,Production And Operations Management,3
2017/2018-Semester 1,Business Studies,BAHR2102,Psychology At Work,BAST1206,Managerial Statistics,3
2017/2018-Semester 1,Business Studies,BAPR4211,Senior Project,BAOM4109,Employees Relation,3
2017/2018-Semester 1,Business Studies,BAAC3100,Intermediate Accounting - 2,BAAC2204,Management Accounting -1,3
2017/2018-Semester 1,Business Studies,BAMG4216,Strategic Management,PHIL3201,Formal Arabic Communication,3
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC3203,Government Accounting,3
2017/2018-Semester 1,Business Studies,BAHR2203,Recruitment And Selection,BAMA3113,Research Methodology,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITBS2203,E-Commerce for IT,3
2017/2018-Semester 1,Business Studies,BAAC4205,Forex Management,BAAC4211,Graduation Project,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2204,Management Accounting -1,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,EEPW2251,Electrical Power Technology,3
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,ENGL2100,Technical Communication,3
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EECP3180,Computer Networks,3
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EETE3220,Digital Signal Processing,3
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ITNT102,Network Fundamentals I,3
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAMA1101,Business Mathematics,3
2017/2018-Semester 1,Business Studies,BAEB4200,Management Information System,EETE4299A,B. Tech Project I,3
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAAC4211,Graduation Project,3
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,EETE2201,Cable And Fiber Splicing,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAEC1203,Principles Of Microeconomics,3
